/leagueId,/queueType,/tier,/rank,/summonerId,/summonerName,/leaguePoints,/wins,/losses,/veteran,/inactive,/freshBlood,/hotStreak,/miniSeries/target,/miniSeries/wins,/miniSeries/losses,/miniSeries/progress,/AccountID/SummonerLevel
"13dab1d7-70a0-42e4-9672-532bdd8d8e9c","RANKED_SOLO_5x5","DIAMOND","I","ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY","ccccllllllll",1.0,111.0,108.0,false,false,false,false,,,,,20VITQtkdhDPhj4phneOY0NWmpYHQWh-wVwzJeS-OIPXrrU,75
"7c699201-2ae5-49ca-adba-208471db946f","RANKED_SOLO_5x5","DIAMOND","I","Kax45o-rr_ugdklDQewqxBkrmpPD79i7fRqu_0iErhLwrBk8","soloitude",0.0,96.0,77.0,false,false,false,false,,,,,plYMY8WnEUsSGji9ZWbH6wNP5PQsQgHMHeQ5YBcRC-ytFO4,159
"ade103fb-f7fb-4ca5-bbe1-c3a95b4a219f","RANKED_SOLO_5x5","DIAMOND","I","DtGrKTY-Sprk58tAg71ZlW4gc31BP1qDg-TnfliNt3_CfMu7","Meiran",90.0,132.0,123.0,false,false,false,false,,,,,j9GQfoMf_RZA_ZHXO7pkR0GoyztsLNyulCyKCWl1tVhSyV8,213
"599820a7-95ad-4500-8558-9f686f4ce619","RANKED_SOLO_5x5","DIAMOND","I","ng39kiYOrdkan03izUKBNZ-2ueEe6QhgCbP2wiiSCnYw10bo","Starduster",17.0,144.0,128.0,false,false,false,false,,,,,RzaYkjvHGBq32V4Q8H0l8fXZUMMfTAXLLso9uhg6hKbw1Is,274
"5dd6416a-bf3a-41ad-bf28-0dbdef9bc1e6","RANKED_SOLO_5x5","DIAMOND","I","rpmc0EhD5pHnAxaA1QbB9i5YuR_rqwiNOq4oOj4fG2MQds0U","tibia player",29.0,111.0,97.0,false,false,false,false,,,,,xUva3dOcIUrcmun5B1HP32YMKGm3JgTKxVVB_42LKvW9hqg,89
"13dab1d7-70a0-42e4-9672-532bdd8d8e9c","RANKED_SOLO_5x5","DIAMOND","I","Vwf4Dv74fqztwkB76rYqeLI3zVAhLb2nS1mq3ugo2nFx-1DE","ZZZZL",11.0,143.0,124.0,false,false,false,false,,,,,VoZqZQ7cu6Era7n8XlXTCfTUhwdsxY6Lvqbg534tfT_gCns,212
"37556189-2125-4cc4-81ce-0f8c3bdd6bdc","RANKED_SOLO_5x5","DIAMOND","I","bhKp2hur2QaNtmRDOfFwjijMvT4exQmzbmESrpthUo3JSoOv","Ghiosu",19.0,205.0,196.0,false,false,false,false,,,,,uuTVhsxeLxItq-xPH9dKKHGmiukjs1sW3pI0zB_PSEjD_QA,120
"d6e1a7f6-6007-4b5e-b563-d570fefff927","RANKED_SOLO_5x5","DIAMOND","I","FSXQ6NEFCp1kR2wr_e-IllCA8XqJSuAGsPwhRwlyKZTmmngx","TwTv Risezilean",75.0,64.0,28.0,false,false,true,false,,,,,c5Q_OPHeFkxG84YYUD4J53OYezHwtgUHNb3VM3I6Ne0Hmzg,54
"4ece2016-de07-4773-9b39-3c857e95832a","RANKED_SOLO_5x5","DIAMOND","I","dwBtWtfB0KqLORSQo16lTe-e0B7zTDEVSXEBo4ckeuo5gx1X","Kage86",0.0,56.0,29.0,false,false,false,false,,,,,mZFbDQWRdMCw6sZjIfmIaAqDA8j52s6ALd0Nlmr-86Rjlc0,87
"c2ae9afe-2d2a-46a0-89bd-8cb0fefae000","RANKED_SOLO_5x5","DIAMOND","I","p358pGMq4QXvO9RNlcHwdHZbi1fx5QFlmDwPgW9f6kWyRx_O","TheChineseCarry",0.0,40.0,32.0,false,false,false,false,,,,,oHQqPRLF84DBjWJbOGwTgYTlIzt7scC4JOeD-LEf_Rua2Ys,64
"5be59859-1bb4-4c0f-937e-39b869b12952","RANKED_SOLO_5x5","DIAMOND","I","xBIax-52i02B1feFRgrYsaQWfEcjSaT2p17ohf1zTv_T_zeN","Xenis",38.0,78.0,66.0,false,false,false,false,,,,,QFAOYm9GeD9QTpgr0_pwmleAmtE3lYOom0ZxOcR8iQ9K-eI,121
"20aacbd0-1579-4d67-ad52-b154a0d576d4","RANKED_SOLO_5x5","DIAMOND","I","6ONco7GyZ-nM2T_0UYnavWwsMnSlQ0zFsJsiFKVNkxQnPcyS","Captalnqwark",0.0,63.0,59.0,false,false,false,false,,,,,EwPAjNuu5OFgm-TTHN8p4CsFLprL2DZJ_dxMCdThd9l1t_s,237
"3d6b60eb-ea06-4fd8-b244-a0a0a79ce754","RANKED_SOLO_5x5","DIAMOND","I","32H5ObjhFcxfDviCfRpC6qs-kTqF-sbuXIXlAFSK_Z9TmAGW","ThePapagai",0.0,111.0,98.0,false,false,false,false,,,,,XK4VAMGrmUbLF1_N5C8C50ATSu0NrZOKDgODvQEoZWCKcjA,91
"7c699201-2ae5-49ca-adba-208471db946f","RANKED_SOLO_5x5","DIAMOND","I","PHsmOnG8tg-CSzSwYpNlm23EySEuAJx2cKaXpN8gnQ77K2v5","Losowy Zadymiarz",0.0,17.0,13.0,false,false,false,false,,,,,kYJjjUazzqJ-10rbChcSozs_Qb5OHIo2dGgD219dZ8RC1lQ,60
"b01a3756-bea3-4986-8451-f921575520a3","RANKED_SOLO_5x5","DIAMOND","I","sClwwEF3t-S3YkwrbaG9FlPPY5-qh-l2Fl5392FMrH7vj4e9"," Silixelf",50.0,68.0,61.0,false,false,false,false,,,,,dDLrSalilL93K9eVDB9xXBtFU1JAYah0UmfJ2oaj4OH60BY,116
"beed5efe-f574-46d0-a449-195a5bff9350","RANKED_SOLO_5x5","DIAMOND","I","L9ideXv7dNJCPwOu4Pqgaqax9WIDDxohKIzEhq_4i0PYGNZ5","Implore",31.0,139.0,109.0,false,false,true,false,,,,,p5R5B_Kq-Y5as6xGhGsNB6nDZG4GUmrCKFVR0Z2hNeIJ0Us,194
"b01a3756-bea3-4986-8451-f921575520a3","RANKED_SOLO_5x5","DIAMOND","I","-ZPGl2Nv68S-wqYus1Yyx40zlbr7VFzu8wBy6ljnr0ZV09GT","Çûkûtay",36.0,75.0,68.0,false,false,false,false,,,,,AiNq1U-TUQmgTB71yMu9Sq2dFek3ny92OwFwOcHwqFfO4NU,137
"3a735f28-f922-4632-8643-e64051492e52","RANKED_SOLO_5x5","DIAMOND","I","BP2dMOHEqf2hS2DC9AQTTgeqHBAtToWOAcr_wMMdBrxxRr0g","Shoot Twice",40.0,121.0,114.0,false,false,false,false,,,,,Sev8nit39L65NbYtQ0qVpEPZGRaavIKT5yx7n9oWhWZo1E0,166
"4e466fe3-2203-4d62-8735-29fc3e31ed31","RANKED_SOLO_5x5","DIAMOND","I","07VhJTBCTdoJAa9Sfyi5QHitRj32FR5UPUz5mp6TsP7WOfoA","FB Sparz",5.0,46.0,54.0,false,false,false,false,,,,,07YXxglkJgZN-TQ-dISJtucUa8ua7hRyWHe8ckqCd8qfcYw,188
